id,title,time,director,year,star1,star2,star3,star4,star5,star6,tomatome_rating,audience_rating,review1,review2,review3,review4,review5
2788,The Longest Ride,2 hr. 8 min.,George Tillman Jr.,2015,Scott Eastwood,Brittany Robertson,Alan Alda,Oona Chaplin,Jack Huston,Melissa Benoist,31,73,"For once, a movie based on a Nicholas Sparks book appears to be populated by relatively realistic approximations of human beings dealing with relationship conflict in realistic ways.","Like all of Sparks's stories it's corny as hell, but there's an unabashed, old-fashioned charm that gradually warms the cockles and moistens the eye.","Thanks to the scenery, the performances and a rich vein of unintentional silliness, The Longest Ride feels a whole lot shorter than it is.",Devotees of author Nicholas Sparks's work will no doubt be delighted with The Longest Ride's bonanza offering: two militantly preposterous love stories for the price of one!,Sometimes it's better just to hold your hands up and welcome movies as cheesily inoffensive as this.
2789,Black Beauty,1 hr. 30 min.,Daniel Zirilli,2015,Luke Perry,Bruce Davison,Sarah Ann Schultz,Anthony Del Negro,Jude S. Walko,Curtis Eames,0,33,,,,,
2790,Dawn Patrol,1 hr. 27 min.,Daniel Petrie,2015,Scott Eastwood,Jeff Fahey,Rita Wilson,Kimberly Matula,Julie Carmen,Chris Brochu,0,14,"The film, directed by veteran filmmaker Daniel Petrie Jr., attempts to stuff too many elements into the premise.","""Dawn Patrol"" has a lot on its plate and manages to drop it all.",A repulsive and disgustingly manipulative roundrobin of revenge that veers from softcore porn to an emotionally ignorant parody of a family drama.,By the time the film gets to a genuinely interesting moment in the final scenes it will be hard for most viewers to stop stifling their laughter.,"Dawn Patrol feels distended and awkwardly paced despite a lean, 87-minute runtime."
2791,Kid Blue,1 hr. 40 min.,James Frawley,1973,Dennis Hopper,Janice Ford,Warren Oates,Peter Boyle,Lee Purcell,Ben Johnson,0,55,Kid Blue has a meandering jug band sensibility and a premise hilariously relevant to Hopper's situation.,"Kid Blue is a well-meaning, liberal, anti-fascist Western, dressed up with some good performances by Peter Boyle, Lee Purcell and Janice Rule. But it's not a very good movie.",A gentle little fable about the mechanization of the west and its effects on a small-time outlaw.,,"It was a keen satire of the last of the frontier days, but its hipness failed to rub off on me."
2792,Set Fire To The Stars,1 hr. 30 min.,Andy Goddard,2015,Elijah Wood,Celyn Jones,Kelly Reilly,Maimie McCoy,Shirley Henderson,Steven Mackintosh,56,34,"Gorgeous, evocative and well performed ...","The film wallows too much in its subject's glumness, but it comes alive whenever TV actor and co-writer Celyn Jones, whose only previous film credit is 2005's Lassie, plays Thomas as a big shaggy dog.","""Set Fire to the Stars"" barely skims the surface of characters you wish had been given more dimension, but as a snapshot of postwar academia and its pretensions, it exerts a creepy fascination.",Stylistically assured and tastefully appointed.,[A] watchable but thematically repetitive drama about Welsh poet Dylan Thomas' arrival in America in 1950.
2793,Wild Horses,1 hr. 40 min.,Robert Duvall,2015,Robert Duvall,James Franco,Josh Hartnett,Angie Cepeda,Luciana Pedraza,Adriana Barraza,17,16,[Duvall] loses the thread - and our attention - one too many times in a sea of lackluster conversations and unremarkable plot strands.,"Could Robert Duvall's incoherent melodrama ""Wild Horses"" have been salvaged by a skillful editor? Probably not.",What a shambles.,"These competing narratives are connected haphazardly by visual transitions that feel like someone sat on the DVD remote, plus jarring tonal shifts between intimate conversations and tire-spinning car chases.",The theatrical performances don't come close to matching Duvall's 1997 directing breakthrough The Apostle.
2794,What We Do In The Shadows,1 hr. 26 min.,Taika Waititi,2015,Jemaine Clement,Taika Waititi,Jonathon Brugh,Cori Gonzalez-Macuer,Stu Rutherford,Ben Fransham,96,86,Delightfully satisfying.,The most important thing to know about What We Do In The Shadows is that it's laugh-out-loud hilarious and we urge you to see it as soon as possible.,What We Do in the Shadows is both a refreshingly different take on vampire conventions and one of the funniest comedies of the year.,Waititi and Clement's collaboration is irresistibly amusing.,"If there's an angle of vampire mythology that Taika Waititi and Jemaine Clement didn't find a way to turn into a great joke, I'll be damned if I could tell you what it is."
2795,Seeds of Yesterday,2 hr.,Shawn Ku,2015,Jason Lewis,Rachael Carpani,James Maslow,Anthony Konechny,Leah Gibson,Sammi Hanratty,0,43,,,,,
2796,Glass Chin,1 hr. 27 min.,Noah Buschel,2015,Corey Stoll,Billy Crudup,Brendan Sexton III,Kelly Lynch,Michael Chernus,Elizabeth Rodriguez,85,45,"It's Crudup who steals every scene, whether he's waxing philosophical about the benefits of iCloud or blackmailing Bud with a charming, unsettling grin.","Story-wise, nothing in Glass Chin will surprise you. But stylistically, the film's got something cool going on.","Despite an appealing fondness for New York locations and habits, Mr. Buschel and his cinematographer, Ryan Samul, have embalmed their film in style.","Punchy dialogue, sharply drawn characters and excellent performances fuel ""Glass Chin,"" an intimate drama that's set in the boxing world but is about so much more.",Corey Stoll is the only reason to sit through this muddled Jersey-set drama.
2797,The Bill Collector,1 hr. 47 min.,Cristobal Krusen,2010,Danny Trejo,Gary Moore,Brandon Hardesty,Ron Kenoly,Elizabeth Omilami,Tom Ohmer,0,13,,,,,
2798,3 Hearts,1 hr. 46 min.,Benoît Jacquot,2015,Benoît Poelvoorde,Charlotte Gainsbourg,Chiara Mastroianni,Catherine Deneuve,,,73,42,"It leaves behind a nagging feeling, a suggestion there's more to the story than its story.","Despite a slow start and jarring narration, ""3 Hearts"" entertains with its melodramatic amour fou.","A tasteful, mildly intriguing romantic drama from writer-director Benoît Jacquot.","3 Hearts"" brings together an all-star team of French actresses in a movie about a love triangle that could not be more French unless everyone smoked more.",A French romantic drama directed as though it were a thriller.
2799,White God,1 hr. 57 min.,Kornél Mundruczó,2015,Zsófia Psotta,Sándor Zsótér,Lili Monori,Szabolcs Thuroczy,László Gálffi,Lili Horváth,92,72,"If someone wants to make a case that our four-legged actor friends deserve to be considered for Oscar consideration, right alongside Streep and McConaughey, they need only offer White God as evidence.","What it all means is open to interpretation. Read it as a parable or as a horror movie. Read it as the story of love between a girl and her dog. Read it however you want. No matter what your take, you won't be disappointed.","White God offers a dark - very dark - take on the way humans exert authority, and superiority, over our fellow creatures.","Kornél Mundruczó shows great ability to create atmosphere, generate emotion and get heartwarming performances from those who you'd least expect... [Full review in Spanish]","More than the political metaphor we see on screen, the movie's best parts are seeing 300 dogs on screen running through the streets of Budapest. [Full review in Spanish]"
2800,The Water Diviner,1 hr. 51 min.,Russell Crowe,2015,Russell Crowe,Isabel Lucas,Jai Courtney,Olga Kurylenko,Ryan Corr,Yilmaz Erdogan,63,61,"Indeed, this is the 51-year-old Crowe's first time as a movie director, but he's hardly a novice actor stepping behind the camera for some sort of vanity project.","It's clear that Russell Crowe has poured his heart and soul into the historical romance The Water Diviner, his first feature as a director. If only the film were better.","A sloggy, heartfelt piece of quasi-magical realist storytelling.","Russell Crowe's well crafted if tonally uneven historical drama... [is] sometimes stirring, sometimes sentimental and sometimes far-fetched.","The film is well-acted, beautifully photographed, and thematically rich. Russell Crowe may have a second whole career ahead of him."
2801,Jauja,1 hr. 48 min.,Lisandro Alonso,2015,Viggo Mortensen,Ghita Nørby,Viilbjørk Malling Ag...,Misael Saavedra,Esteban Bigliardi,Adrian Fondari,90,52,"This fifth feature by the brilliant Argentine filmmaker Lisandro Alonso is his first with professional actors and a period setting, yet it meshes thematically with his other work.","Alonso sustains an atmosphere of otherworldly immanence in a vivid setting, with a style involving long takes with characters posed as if in tableaux vivants.","Viewers who can accept a defiantly slow pace, a few loose plot threads and a directorial style that works by intimation, will be rewarded.","If you applauded the genre-tweaking twists of Gus Van Sant's ""Gerry"" and Kelly Reichardt's ""Meek's Cutoff,"" you may have a good time (or at least an interesting one) at acclaimed Argentine director Lisandro Alonso's latest puzzler, ""Jauja.""",'Jauja' is a film to make you wonder.
2802,Comet,1 hr. 31 min.,Sam Esmail,2014,Emmy Rossum,Justin Long,Kayla Servi,Eric Winter,Ben R. Scott,Lou Beatty Jr.,41,52,"Just when you think you're about to fall for this fuzzy sci-fi romance, it disappears into its own navel.","Justin Long is a fine actor, but you have to like him a lot to get through ""Comet,"" Sam Esmail's trippy, overly mannered romance.","Watching a not-very-interesting couple break up is one thing; watching them break up and get back together numerous times in different universes and dimensions is, well ... to paraphrase ""Jaws,"" I'm going to need a bigger popcorn bag.","Its conceits ... get in the way of its characters, making it feel fussy and convoluted when it aims for something more simple and elegant.","These occasionally obnoxious, certainly neurotic young lovers have beating, sometimes broken hearts, and that, as the apostle Paul once noted, tends to trump all."
2803,52 Tuesdays,1 hr. 54 min.,Sophie Hyde,2015,Tilda Cobham-Hervey,Del Herbert-Jane,Imogen Archer,Dr. Beau Williams,Mario Späte,Sam Althuizen,86,69,Brings deft emotional nuance to the seemingly inexhaustibly complex relationship between individual identity and family ties.,A frustratingly fragmented yet warmly intimate portrait of an evolving bond that frays but doesn't sever.,"Grippingly plotted and exquisitely thoughtful, 52 Tuesdays is a poignant reminder that neither confusion nor crisis is doomed to be calamitous.",The sensitively observed drama is distinguished by its structurally adventurous approach and the intimacy of its storytelling.,"There are interesting moments throughout and the performances of the non-professional cast, particularly Cobham-Hervey, are very good."
2804,Runoff,1 hr. 30 min.,Kimberly Levin,2015,Joanne Kelly,Tom Bower,Alex Shaffer,Rashel Bestard,Darlene Hunt,Neal Huff,83,89,Promising work that's worth checking out.,The low energy pace and performances strive for naturalism but just don't achieve compelling tension or suspense.,The 90-minute movie is a tightly compressed exploration of forces that make it next to impossible to operate a small business when a voracious corporation moves in for the kill.,"Even when Levin's symbolism is a little on the nose, these elements are balanced with enough small details and moments that they blend in to the larger texture of the characters' lives.",The movie achieves an understated resonance through Levin's emotionally sensitive compositions and her clued-in portrayal of life in a middle-American farming community.
2805,Faults,1 hr. 29 min.,Riley Stearns,2015,Mary Elizabeth Winst...,Leland Orser,Beth Grant,Chris Ellis,Jon Gries,Lance Reddick,89,66,"The wan drama is enlivened by bursts of black comedy, some bits more effective than others, and though it ultimately disappoints, there's promise in the understated creepiness of Riley Stearns' debut feature.","While ""Faults"" glances at the narcissism of cult leaders, its most penetrating investigation is into the root emptiness within disciples, the desperate hunger to relinquish personal initiative.","A movie that undergoes a slow, captivating metamorphosis, scene by scene, though who's the caterpillar and who's the cocoon remains unclear until the very end.","Winstead is one of the most intuitive actors of her generation, and though her impressive range is easy to spot, it's her elasticity that makes her so rewarding to watch.","Mind control is a topic that should be fascinating, but it's utterly forgettable in this disappointing, low-budget indie."
2806,Second Opinion: Laetrile at Sloan-Kettering,1 hr. 15 min.,Eric Merola,2014,Ralph W. Moss,Alec Pruchnicki,Robert Good,Kanematsu Sugiura,Lewis Thomas,Chester Stock,58,80,Sometimes a movie featuring a man sitting on a chair talking to the camera is exactly as uncompelling as that sounds.,This one's for the conspiracy-minded only.,"Mr. Moss's message is clear, shrewdly edited and peculiarly interesting.","Though a documentary, it's dramatic enough to be reminiscent of ""The Insider,"" the whistleblowing thriller about Big Tobacco.","Like many docs with activist undertones, Second Opinion tells a potentially interesting story in a bland way - a fixed camera on its main subject, who recounts the story detail by detail."
2807,Any Day,1 hr. 40 min.,Rustam Branaman,2015,Eva Longoria,Kate Walsh,Sean Bean,Shane Black,Tom Arnold,Paul Ben-Victor,0,18,"A cliché-ridden, heavy-handed redemptive drama written and directed by Rustam Branaman.","An earnest, utterly predictable indie that wastes a couple of decent performances in service of a hackneyed and weak script ...","Everything in Any Day is portentous and presented as if it is loaded with meaning; none of it is, because everything is either so obvious or so arbitrary that nothing actually means anything.","A well-intentioned disaster, only slightly redeemed by a committed performance by Sean Bean, whose talent proves nowhere near enough to make this manipulative tripe more digestible.",Any Day falls into the painfully crowded trough between not-bad and seriously not-good movies.
2808,Jackie & Ryan,1 hr. 30 min.,Ami Canaan Mann,2015,Ben Barnes,Katherine Heigl,Clea DuVall,Sheryl Lee,Ryan Bingham,Emily Alyn Lind,62,29,"The film feels like an uncomfortable hodgepodge of styles and tones - gritty and realistic when it's following Ryan, awkwardly staged when it's following Jackie.","""Jackie & Ryan"" may prove too low-key and deliberately paced for less patient viewers, but distinct pleasures are to be had from this compactly shot film's easy rhythms, affecting tone and nicely modulated performances.","You anticipate a cheap, sentimental ending. But it is not to be, and the movie is much the better for it.","The section of the movie that should offer a climactic rush, however fleeting, feels instead more like falling action, or even a postscript.","Jackie & Ryan is a sort of low-rent Nicholas Sparks romance that, for want of a better way to put it, never generates any sparks of its own."
2809,The Salvation,1 hr. 40 min.,Kristian Levring,2015,Mads Mikkelsen,Eva Green,Jeffrey Dean Morgan,Mikael Persbrandt,Michael Raymond-Jame...,Alexander Arnold,69,60,"In an untamed world where hypocrisy is loud and where no one can be trusted, salvation is one's own business and actions speak louder than words.",Wild West vengeance gets a terrific homage and a bloody reckoning in this oater excursion ...,"Lacks enough complexity to hold cliché at bay, and the CGI-heavy visuals are distracting.","Writer-director Kristian Levring says there are 62 different references to classic Westerns in his own oater ""The Salvation."" Perhaps the greatest compliment I can pay his film is that I never looked for them. I was too busy enjoying the film.","With the help of two charismatic stars, it does conjure up its share of evocative genre moments."
2810,Madame Bovary,1 hr. 58 min.,Sophie Barthes,2015,Mia Wasikowska,Ezra Miller,Rhys Ifans,Paul Giamatti,Laura Carmichael,Logan Marshall-Green,43,25,"Barthes feels the need to improve on Flaubert, adding and dropping scenes and inventing social metaphors - mainly spiderwebs and corsets.","For a film about passion, it feels oddly flat and often passionless.","With her thousand-mile frown, Mia Wasikowska was born to play Victorian heroines, though she's a little too intelligent and self-aware for Flaubert's Emma Bovary.",This umpteenth adaptation of Flaubert's classic novel at least chooses its Emma wisely ...,"Gustave Flaubert's endlessly filmed novel Madame Bovary is hauled out yet again for another go here by director Sophie Barthes, and the result is a handsome, considerably simplified and oh-so-melodramatic costume epic."
2811,Brother's Keeper,1 hr. 58 min.,Josh Mills,2013,Alex Miller [act-;],Graham Miller,Ray Wise,Travis Tritt,Daniel Samonas,W. Earl Brown,0,87,"Weak faith-based teen drama has violence, heavy themes.",,,,
2812,Far From the Madding Crowd,1 hr. 59 min.,Thomas Vinterberg,2015,Carey Mulligan,Tom Sturridge,Matthias Schoenaerts,Michael Sheen,Juno Temple,Jessica Barden,85,77,"The current Crowd, which is a nice diversion from the summer's CGI extravaganza, should be a crowd pleaser.","The film's restrained nature may ... [keep] it from being a major hit, but for all it loses in marketability it gains in being a suitably emotive experience.","The story's arc is pure Harlequin -romance, but it's given a sheen of respectability by Hardy's words and Thomas Vinterberg's lush direction.","The new movie version of Far From the Madding Crowd can't compete with its predecessor on any of those fronts, but it does have a trump card, and her name is Carey Mulligan.",You know that your Victorian England period piece is not working when the most interesting thing on screen is the clothes-horse fashion sense of your leading lady.
2813,Every Secret Thing,1 hr. 33 min.,Amy Berg,2015,Diane Lane,Elizabeth Banks,Dakota Fanning,Danielle MacDonald,Nate Parker,Common,26,33,"It's described as a smart, suspenseful psychological thriller, but there's nothing smart about it, and as an alleged thriller, when the mysteries are explained in a twist finale, it could use a psychologist of its own.","Diane Lane is chilling as Alice's shifty mother, and though some of the ""secret things"" are Law & Order predictable, other revelations will haunt you for days.",Sometimes the whole is less than the sum of the parts.,The film has enough twists and dark reveals to grab the viewer. But it's Macdonald's sad turn as Alice that eats away at your soul.,"Despite those credentials from the filmmakers and an excellent cast that includes Diane Lane, Elizabeth Banks, Nate Parker and Dakota Fanning, ""Every Secret Thing"" feels flat and unfocused."
2814,Blackbird,1 hr. 42 min.,Patrik-Ian Polk,2015,Mo'Nique,Isaiah Washington,Terrell Tilford,Gary Leroi Gray,Lindsay Seim,Nicole Lovince,29,55,"Despite its sense of mission, the film suffers from soapy excesses and narrative disjunctures.","Director Patrik-Ian Polk makes the ending a little too pat, but he makes us root for these characters to be happy, and for their world to be a better place.","Anything that can go wrong, will - often in spectacular fashion.","Patrik-Ian Polk makes a huge artistic leap with this deeply affecting, funny and original peek at one confused youth's coming out process.","At no point does anyone in the film even vaguely resemble an actual 21st-century teenager; when these kids text each other, it comes across like science fiction."
2815,Child 44,2 hr. 17 min.,Daniel Espinosa,2015,Tom Hardy,Noomi Rapace,Joel Kinnaman,Gary Oldman,Vincent Cassel,Jason Clarke,26,43,The movie hints at a riveting story but is incapable of delivering it.,"Given these actors and the ravishing decrepitude of the locations and costumes and the lustrous cinematography of Oliver Wood, I found it more than watchable the whole way through.",Once in a while comes that star-studded film to remind that even the best assemblage of thespians isn't enough to save the most underwhelming of films.,Get past some contrived plotting - and the needlessly thick Russian accents adopted by the mostly British cast - and this 1950s-set crime thriller is grimly fascinating.,It's all so mushy and unclear that by the time a climactic fight takes place in a literal mire you'll feel as muddied as the participants.
2816,Insurgent,1 hr. 59 min.,Robert Schwentke,2015,Shailene Woodley,Theo James,Daniel Dae Kim,Jonny Weston,Suki Waterhouse,Jai Courtney,30,61,"I appreciate the attempt to try to make this world -- an obliterated, totalitarian Chicago -- as watchable as possible. But there's too much to keep straight.","Dull, monotonous, and painfully tedious.",There's much more that doesn't work here than does.,"Instead of helping the story to move along as the middle part of a trilogy should, Insurgent ends up being nothing more than another helping of the problems that held back its predecessor.","Ah, that story we ordered last year finally arrived."
2817,True Story,1 hr. 40 min.,Rupert Goold,2015,Jonah Hill,James Franco,Felicity Jones,Ethan Suplee,Gretchen Mol,Maria Dizzia,44,40,"Franco and Hill's early scenes together maintains intrigue for a while, but True Story never quite indicates that it has something compelling going on beneath the surface.","It's good, but it could've been amazing and falls short. [Full review in Spanish]","There's a story to tell here. But in the hands of stars Jonah Hill and James Franco, it's not a great story.","Perhaps True Story should have been a stage play, but this low-budget exercise is a chance to savor the abilities of its well-known stars.","For all the big and intriguing themes the film subsequently pays lip service to, there's no disguising the fact that this is a fairly dull and suspense-free true crime drama."
2818,A Little Chaos,1 hr. 56 min.,Alan Rickman,2015,Kate Winslet,Matthias Schoenaerts,Alan Rickman,Stanley Tucci,Helen McCrory,Jennifer Ehle,40,47,True French historians should simply relax and enjoy a film that takes us on a beautifully photographed cinematic romp into a past as it likely SHOULD have been.,"""A Little Chaos"" wants us to be fascinated by a feminist who never was, then undermines her by casting an approving eye on the steamy affair she begins with her boss.","It's difficult to conjure... excitement for a mess like ""A Little Chaos,"" a lazy and off-puttingly anachronistic feminist fantasy about an 18th-century female landscape designer who finds love while creating... one of the grandest spaces in Versailles.","Winslet is radiant, but limited by the fictional character written for her: a flawless woman whose lack of happiness is hampered by grief over a terrible loss.",Rickman doesn't take risks and seems to have some difficulties in acting and directing at the same time. [full review in Spanish]
2819,Do You Believe?,1 hr. 55 min.,Jonathan M. Gunn,2015,Mira Sorvino,Sean Astin,Alexa Vega,Delroy Lindo,Andrea Logan White,Cybill Shepherd,18,84,"A deranged melodrama where any sense of soapy, campy fun is undercut by the preachy, self-serious tone.",A self-aggrandizing sermon that preaches only to the faithful.,"Wherever you fall on the spectrum of spirituality, the only answer to ""Do You Believe?"" is ""No.""","More professionally produced and acted than the indiegelical norm, but only fitfully engaging on a dramatic level and entirely hermetic on a theological one.","The cast is a motley mix of the known and unknown, all doing their best to deliver Konzelman and Solomon's awkward sermon, under Jonathan M. Gunn's equally awkward direction."
2820,Match,1 hr. 34 min.,Stephen Belber,2015,Patrick Stewart,Carla Gugino,Matthew Lillard,Jaime Tirelli,Rob Yang,Maduka Steady,76,68,"When a play is adapted for the screen, too often you can see the stitches.","It's great fun to watch Patrick Stewart in ""Match,"" seeming to chew scenery (and actually doing so from time to time) but offering something else underneath.","Belber sometimes strains credulity to keep the characters together until the end, but Stewart carries the story to its conclusion with a performance ranging from the fierce to the tender.",This small film (virtually all of it filmed in Tobi's New York apartment) is a real gem.,"Onscreen, the material seems contrived and thin. What must have been an electrifying clash of personalities onstage is over the top on film."
2821,Police Story: Lockdown,1 hr. 50 min.,Sheng Ding,2015,Jackie Chan,Ye Liu,Jing Tian,Liu Yiwei,Rongguang Yu,Peiqi Liu,13,36,"It makes fans of the original ""Police Story"" franchise wistful for the mundane locales but extraordinary daredevil stunt work of yore.","This is a very poorly paced and structured movie, cutting between time periods to fill in the sort of convoluted backstory that a leaner, more propulsive piece of pulp probably wouldn't bother with in the first place.",Jackie Chan makes a dull departure from his former kickass shenanigans in this rickety action-drama.,"This is predictable crime thriller fluff that you've come to expect from a deteriorating legend. Police Story: Lockdown isn't entirely awful, but it dilutes what was otherwise a nearly flawless and action packed franchise.","'Police Story: Lockdown' was supposed to be a star vehicle, but a vehicle that doesn't let its star shine is of no use to anyone."
2822,Find A Way,1 hr. 29 min.,Burgess Jenkins,2013,Cornelius Muller,Donald James Moore,Vonii Bristow,Heavenly Walker,Kathy Butler Sandvos...,,0,0,,,,,
2823,Lost For Words,1 hr. 47 min.,Stanley J. Orzel,2013,Sean Faris,Grace Huang (II),Will Yun Lee,Terence Yin,Joman Chiang,Jennifer Birmingham,33,67,"Hope endures, but not for this movie.",It's curious that the only conflict mined from this bicultural relationship is strictly linguistic.,"Perhaps only an expat like American-born, Hong Kong-based director Stanley J. Orzel could create a tribute to his adopted city as loving as Lost for Words.","[Faris'] relationship with co-star Huang, while cordial, hardly reflects an emotional connection strong enough for him to conquer his character's post-romantic breakup stress syndrome.","""Forget the words, follow your heart"" is this film's oft-repeated Hallmark card sentiment. You may just want to forget the movie and follow the aisle to the exit."
2824,Cleveland Abduction,2 hr.,Alex Kalymnios,2015,Taryn Manning,Raymond Cruz,Samantha Droke,Katie Sarife,Pam Grier,Joe Morton,0,47,,,,,
2825,Soaked In Bleach,1 hr. 29 min.,Benjamin Statler,2015,Tyler Bryan,Sarah Scott,Daniel Roebuck,August Emerson,David Daskal,Julie Lancaster,30,78,"The inclination to dismiss this as fanciful conspiracy theorizing is here countered by the testimonies of various experts, certain that the Seattle police really bungled their investigation.","By the time Wecht declares that this is a death that simply has to be reinvestigated, even a viewer with no special attachment to Cobain's legacy is likely to agree.","Whether he's way off base or not, Tom Grant is clearly a believer, and the ideas he presents via Soaked In Bleach-as unabashedly one-sided as they are-aren't easily dismissed.","The problem is, when facing down Love's and Cobain's outsize, junked-up personalities, Grant seems a total naïf.","The story is still provocative, but the director has nothing new to add to it."
2826,Club Life,1 hr. 23 min.,Fabrizio Conte,2015,Jerry Ferrara,Jessica Szohr,Jay R. Ferguson,Al Sapienza,Robert Davi,Busta Rhymes,0,5,The film is undermined by choppy editing and a penchant for hoary aphorisms and forced gravitas.,"""Club Life"" is a flat, disjointed drama that's buoyed by a couple of good performances. Your mileage may vary depending on your interest in dance montages.",Don't feel bad about skipping the line for Club Life.,"This connect-the-dots drama [...] carries the narcissistic myopia of so many people who are told their lives would make a great movie, and who believe it.",
2827,The Riot Club (Posh),1 hr. 47 min.,Lone Scherfig,2015,Douglas Booth,Holliday Grainger,Max Irons,Natalie Dormer,Ben Schnetzer,Sam Reid,64,45,"Although the performances are uniformly on point and the dialogue is tartly British, the film ultimately fails to earn its riotous stripes.",I was drained and quivering with fury and disgust.,"The Riot Club is, finally, a monster movie. Which I suppose is what some become who are too rich and powerful to be bothered with inhibitions or morality.","The Riot Club comes with the dubious ambition of instructing us as to the evil ways of spoiled British toffs, as if that were needed.","It's all quite superficial, but never less than gripping, and is aided by an ending that at least doesn't compromise too much-the movie finishes with a smirk more than a smile."
2828,Little Boy,1 hr. 26 min.,Alejandro Monteverde,2015,Emily Watson,Jakob Salvati,Kevin James,David Henrie,Tom Wilkinson,Ted Levine,20,80,"Despite boasting several important moral lessons, the period piece is more artificial than a polyester teddy bear stuffed with Splenda and Cheez Whiz - and about as appealing","It's meant to be a tale of uplift for faith-based audiences, but instead wears viewers down with a heavy-handed narrative, an overbearing score and voiceover that spells out everything in cringe-inducing, folksy tones.","Tolerance, World War II history and faith are served up with a sticky sentimental gloss in the family film ""Little Boy.""",A movie that has the haranguing inspirational tone of a marathon Sunday-school lesson.,I just wish the filmmakers didn't feel like they had to hit us over the head with all the moral pontificating to get their point across.
2829,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,1 hr. 54 min.,Felix Herngren,2015,Robert Gustafsson,Iwar Wiklander,David Wiberg,Mia Skäringer,Jens Hultén,Alan Ford,67,70,"It's never explained what Allan's mental state is, other than lovable geriatric rascal-itis, an irritating trope that hardly constitutes a certifiable condition.","""The 100-Year-Old-Man"" is wonderfully inventive, silly fun.",This peripatetic farce practically propels itself.,"It seems destined for a Hollywood remake, which is likely to be more polished but not nearly as weirdly charming.","Herngren's hyper-plotty story goes from testing credulity to utterly insulting it, as incident piles on to incident in an ever-escalating cascade of you-won't-believe-what-happens-nexts."
2830,Merely Players,,Brian Follmer,2014,Adam Leotta,Kristin Milewski,Ashley Solano,Karina Elias,Brian Follmer,Karina Nicole,0,0,,,,,
2831,La Sapienza,1 hr. 40 min.,Eugène Green,2015,Fabrizio Rongione,Christelle Prot,Ludovico Succio,Arianna Nastro,Hervé Compagne,,86,56,"On the surface, writer-director Eugène Green's film ""La Sapienza"" is slow, strange and awkward - but stick with it and it may win you over.","The Sapience juxtaposes insights on how people are emotionally connected with ruminations on the buildings and spaces through which they move, in which they live and, in Alexandre's case, which they also create.",A beautiful space for people and light.,This kind of formalism needs to do more than walk through classical wonders. It should want to create cinema that can stand near or beside them. This movie defensively consecrates what's already there. You don't need a film to do that.,"An exquisite rumination on life, love and art that tickles the heart and mind in equal measure."
2832,Welp (Cub),1 hr. 25 min.,Jonas Govaerts,2014,Stef Aerts,Evelien Bosmans,Titus De Voogdt,Gill Eeckelaert,Maurice Luijten,Jan Hammenecker,39,32,"Referencing everything from 'Suspiria' to 'The Cabin in the Woods', this is a horror movie made by and for genre fans - but that's not necessarily a good thing.","This backwoods camping adventure and folk-legend fusion flies off the rails, unleashing a grotesque and vile nature in every character. ""Cub"" will leave you wanting to pack up your things and head home early.","Similar in tone to Let The Right One In, it starts slowly and builds into a fantastical and creepy look at childhood.","At a time when horror movies seem to only want to make the audience jump, it's great to find one that bothers to build a sense of dread.","Feels a bit like 15 slasher movies you've already seen, but also ends up being a rather novel, unpredictable, and insane little horror flick."
2833,Strangerland,1 hr. 52 min.,Kim Farrant,2015,Nicole Kidman,Hugo Weaving,Joseph Fiennes,Sean P. Keenan,Nicholas Hamilton,Meyne Wyatt,35,24,"Strangerland runs out of gas, leaving us with a couple of final ""Forget You"" (shall we say) moments. Thanks. Thanks for nothing.","erie and unpredictable, Strangerland holds attention, even if traditional suspense tricks are avoided like they were dingos at the daycare.","Kidman's best performances have often been as grieving moms (Dead Calm, The Others, Rabbit Hole) and here she provides the flaccid movie's sole flash of daring and unpredictability.","Director Kim Farrant's debut feature is beautifully shot and offers some powerful, well-acted moments from a strong cast, but it's just relentlessly dreary.","It certainly provides Kidman with some meaty, twisted material. But the film abandons the viewer in the end, leaving the audience as lost as those kids."
2834,Love at First Fight,1 hr. 38 min.,Thomas Cailley,2015,Adèle Haenel,Kévin Azaïs,William Lebghil,Brigitte Roüan,Antoine Laurent,Thibaut Berducat,76,65,"Director Thomas Cailley conjures up a vivid, unusual world, offering a playful reversal of usual gender roles.","There's a better movie floating around the edges of the French import ""Love at First Fight"" than first-time feature director Thomas Cailley has allowed to surface.","All in all, this film is refreshingly original, an existential, boy-meets-survivalist romantic comedy.",What starts out as a promisingly unique tale of a macho woman and the meek guy who falls for her turns into something else once Madeleine leaves for training camp and Arnaud follows.,This debut feature by French writer-director Thomas Cailley is the rare romantic comedy that's satisfying as genre entertainment but also inspires serious thought on pertinent social issues.
2835,The Kidnapping of Michel Houellebecq,1 hr. 33 min.,Guillaume Nicloux,2015,Michel Houellebecq,Luc Schwarz,Mathieu Nicourt,Maxime Lefrançois,Françoise Lebrun,Ginette Suchotzky,89,73,"A fans- and detractors-only affair. At its worst, it feels like a highbrow transgressive-celebrity-cameo skit.","Hilarious, full of humor that is understated, wry and dependent on familiarity with interests as wide as Houellebecq's own.","The Houellebecq we see on screen is obviously rooted as much in fiction as in fact, yet what makes his performance so fascinating is the mischievous glee he takes in sending up his own persona.","A divertingly eccentric, often comically absurd movie about a novelist ... who finds something like happiness after being abducted.",A playful blurring of fact and fiction.
